Date,Name,Year,Letterboxd URI,Rating,Liked,High_Rating,Genre,Runtime
2024-02-18,Midsommar,2019,https://boxd.it/jhxe,4.0,0,1,"Drama, Horror, Mystery",148 min
2024-02-18,Se7en,1995,https://boxd.it/29zs,3.5,0,0,"Crime, Drama, Mystery",127 min
2024-02-18,Donnie Darko,2001,https://boxd.it/2b2A,5.0,1,1,"Drama, Mystery, Sci-Fi",113 min
2024-02-18,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5.0,0,1,"Animation, Adventure, Comedy",87 min
2024-02-18,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5,0,1,"Action, Comedy, Fantasy",112 min
2024-02-18,A Clockwork Orange,1971,https://boxd.it/2aVE,5.0,1,1,"Crime, Sci-Fi",136 min
2024-02-18,Memento,2000,https://boxd.it/2bcK,3.0,0,0,"Mystery, Thriller",113 min
2024-02-18,Little Miss Sunshine,2006,https://boxd.it/29EW,5.0,0,1,"Comedy, Drama",101 min
2024-02-18,My Neighbor Totoro,1988,https://boxd.it/20eA,3.5,0,0,"Animation, Comedy, Family",86 min
2024-02-18,American Beauty,1999,https://boxd.it/71Y,4.5,0,1,Drama,122 min
2024-02-18,Saltburn,2023,https://boxd.it/z4eg,3.5,1,0,"Drama, Thriller",131 min
2024-02-18,Heat,1995,https://boxd.it/2bg8,5.0,1,1,"Action, Crime, Drama",170 min
2024-02-26,Cinema Paradiso,1988,https://boxd.it/1UlA,5.0,1,1,"Drama, Romance",174 min
2024-03-03,The Great Gatsby,2013,https://boxd.it/JY,4.0,0,1,"Drama, Romance",143 min
2024-03-03,Pusher II,2004,https://boxd.it/1U7y,5.0,1,1,"Action, Crime, Drama",100 min
2024-03-11,Dune: Part Two,2024,https://boxd.it/pUfA,5.0,1,1,"Action, Adventure, Drama",166 min
2024-03-11,Her,2013,https://boxd.it/4O24,4.0,1,1,"Drama, Romance, Sci-Fi",126 min
2024-03-12,Normal People,2020,https://boxd.it/q2VY,4.5,1,1,"Drama, Romance",339 min
2024-03-12,Oppenheimer,2023,https://boxd.it/wUow,5.0,1,1,"Biography, Drama, History",180 min
2024-03-13,Natural Born Killers,1994,https://boxd.it/2aNg,4.0,1,1,"Crime, Romance",119 min
2024-03-17,From Dusk Till Dawn,1996,https://boxd.it/29HQ,3.5,1,0,"Action, Crime, Horror",108 min
2024-03-18,Dream Scenario,2023,https://boxd.it/v2h0,3.5,1,0,"Comedy, Drama, Fantasy",102 min
2024-03-19,Good Time,2017,https://boxd.it/fcFu,4.0,1,1,"Crime, Drama, Thriller",102 min
2024-03-19,Trainspotting,1996,https://boxd.it/29XY,5.0,1,1,Drama,93 min
2024-03-24,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,3.5,1,0,"Crime, Drama",116 min
2024-03-24,The Passenger,1975,https://boxd.it/1Y8q,4.0,0,1,"Drama, Thriller",126 min
2024-03-26,Swingers,1996,https://boxd.it/1WNc,4.5,1,1,"Comedy, Drama",96 min
